Disease,Province,Age_Group,Gender,Reported_Cases,Deaths,Hospitalized,Recovered,Month,Year,Season,Urban_Rural,Vaccinated,Travel_History,Comorbidity,Quarantined,ICU_Admission,Symptom_Fever,Symptom_Cough,Symptom_Rash,Contact_Tracing,Lab_Confirmed,Follow_Up,Days_Hospitalized,Region_Code
Dysentery,Hunan,25-44,Male,25,0,1,1,3,2019,Spring,Urban,0,0,0,1,0,1,0,0,1,1,1,23,543
Chickenpox,Yunnan,65+,Female,20,1,0,0,8,2019,Summer,Urban,1,0,0,0,0,1,1,0,1,1,0,0,594
Rabies,Shanghai,45-64,Female,19,0,0,1,6,2021,Summer,Urban,1,0,0,0,0,1,0,0,0,0,1,0,136
Dysentery,Jiangsu,15-24,Male,17,0,1,1,1,2020,Winter,Urban,1,0,0,1,0,0,0,0,1,1,0,28,632
HIV/AIDS,Shanghai,25-44,Female,20,0,1,1,7,2019,Summer,Rural,1,0,1,0,0,1,0,0,0,1,1,6,373
Measles,Guangdong,25-44,Female,24,1,1,0,7,2022,Summer,Rural,1,0,0,0,0,1,0,0,0,1,0,13,600
Syphilis,Shandong,15-24,Male,24,0,1,1,6,2018,Summer,Urban,1,1,0,1,0,1,0,0,0,1,1,17,944
Scarlet Fever,Hunan,15-24,Male,12,1,0,0,1,2022,Winter,Rural,0,0,0,0,0,1,0,0,0,1,1,0,282
Chickenpox,Henan,25-44,Female,26,1,1,0,1,2022,Winter,Urban,0,1,0,0,1,0,0,0,0,1,0,23,307
HIV/AIDS,Hunan,25-44,Female,21,0,1,1,1,2019,Winter,Rural,0,0,0,0,0,0,0,1,0,1,0,19,208
Brucellosis,Jiangsu,0-14,Male,20,0,1,1,6,2020,Summer,Urban,1,1,0,1,0,0,1,0,1,1,0,25,861
Tuberculosis,Guangdong,65+,Female,27,0,1,0,8,2019,Summer,Urban,1,0,0,0,1,0,1,0,0,0,0,0,674
COVID-19,Guangdong,65+,Female,19,1,1,0,1,2021,Winter,Rural,1,0,0,0,0,0,1,1,1,1,0,5,832
COVID-19,Beijing,0-14,Female,16,1,0,0,2,2022,Winter,Urban,1,0,0,0,0,0,0,0,1,1,1,0,799
COVID-19,Shandong,65+,Male,18,1,1,0,5,2020,Spring,Urban,1,0,0,0,0,0,1,1,0,1,1,14,785
Influenza,Zhejiang,15-24,Female,20,1,1,0,8,2022,Summer,Urban,1,0,0,1,0,0,1,1,0,1,0,13,115
HIV/AIDS,Sichuan,65+,Female,23,0,1,1,11,2021,Autumn,Urban,1,0,0,0,0,0,0,1,0,1,1,10,313
Chickenpox,Jiangsu,65+,Female,21,0,1,1,4,2021,Spring,Rural,1,1,0,0,1,1,0,0,0,1,1,7,783
Rabies,Sichuan,0-14,Female,15,0,1,1,5,2021,Spring,Urban,1,0,0,0,0,1,0,0,1,0,1,7,751
Rabies,Sichuan,45-64,Female,16,1,1,0,10,2019,Autumn,Rural,1,0,0,1,0,0,1,0,0,1,1,4,846
HIV/AIDS,Hunan,65+,Female,15,0,0,1,5,2019,Spring,Rural,0,0,1,0,0,1,1,0,1,0,1,0,419
Typhoid,Henan,65+,Female,15,1,1,0,3,2020,Spring,Rural,1,0,0,0,0,0,1,0,1,0,1,26,573
Influenza,Henan,45-64,Male,24,0,1,1,6,2021,Summer,Urban,0,0,0,0,0,0,1,0,1,1,1,29,767
Tuberculosis,Zhejiang,0-14,Male,20,0,1,1,5,2019,Spring,Rural,0,0,0,1,0,0,0,0,0,0,1,6,895
HIV/AIDS,Yunnan,15-24,Female,28,1,1,0,4,2019,Spring,Rural,1,1,0,0,0,0,1,0,1,0,0,2,705
Typhoid,Henan,0-14,Female,21,0,0,1,11,2020,Autumn,Rural,0,0,0,0,0,0,0,0,0,1,1,0,967
Rabies,Jiangsu,15-24,Female,17,0,1,1,4,2022,Spring,Rural,0,1,0,1,0,0,0,1,1,1,0,19,497
Rabies,Jiangsu,15-24,Male,19,0,0,1,7,2021,Summer,Rural,1,0,0,1,0,0,0,0,1,1,0,0,861
Measles,Beijing,0-14,Female,25,0,0,1,7,2019,Summer,Urban,0,0,0,0,0,0,1,0,1,1,1,0,770
HIV/AIDS,Shanghai,25-44,Female,23,0,0,1,9,2020,Autumn,Urban,1,0,0,1,0,1,0,0,0,1,0,0,162
Influenza,Yunnan,0-14,Male,17,0,1,1,10,2022,Autumn,Rural,1,0,0,0,0,1,1,1,0,1,0,3,175
Hepatitis B,Henan,65+,Male,23,1,1,0,12,2020,Winter,Rural,0,0,0,0,0,0,0,1,1,1,1,12,978
Influenza,Guangdong,65+,Female,15,0,1,1,2,2022,Winter,Urban,0,1,0,0,0,1,0,0,0,1,0,18,558
Brucellosis,Henan,25-44,Male,16,0,1,1,6,2018,Summer,Rural,1,0,0,1,0,0,1,0,0,0,0,17,487
Rabies,Beijing,15-24,Male,20,0,1,1,2,2022,Winter,Rural,0,0,1,0,0,0,0,1,0,1,0,10,572
Rabies,Jiangsu,25-44,Female,17,0,0,1,9,2018,Autumn,Urban,1,0,0,0,0,1,1,0,0,1,0,0,974
Dysentery,Sichuan,65+,Female,19,0,1,1,2,2021,Winter,Rural,0,0,0,1,1,1,0,0,0,1,1,25,444
Rabies,Guangdong,25-44,Female,14,0,0,1,6,2019,Summer,Rural,1,0,1,1,0,1,0,0,0,1,0,0,463
Tuberculosis,Hunan,0-14,Male,26,0,1,0,8,2018,Summer,Rural,0,0,0,0,0,1,0,0,0,1,0,26,375
Malaria,Shandong,25-44,Male,18,0,0,1,6,2020,Summer,Rural,0,0,0,0,0,1,0,0,0,1,0,0,555
HIV/AIDS,Sichuan,15-24,Male,22,0,1,1,12,2022,Winter,Urban,1,1,1,0,0,0,1,0,0,1,0,15,123
Scarlet Fever,Shandong,0-14,Female,22,0,1,1,3,2020,Spring,Rural,0,0,0,1,0,0,1,0,0,1,1,24,949
Influenza,Yunnan,45-64,Male,23,1,0,0,5,2018,Spring,Rural,1,1,0,1,0,1,0,0,0,0,0,0,393
Malaria,Shanghai,65+,Male,20,0,1,1,4,2020,Spring,Urban,1,0,0,0,0,1,1,0,0,1,0,20,428
Typhoid,Guangdong,65+,Female,19,0,0,1,1,2022,Winter,Urban,1,0,0,0,0,0,1,0,0,1,1,0,507
Hepatitis B,Zhejiang,25-44,Female,26,0,1,0,5,2019,Spring,Rural,1,0,0,0,0,0,0,1,0,1,0,26,424
Tuberculosis,Guangdong,0-14,Female,17,0,1,1,10,2020,Autumn,Rural,1,0,0,0,0,0,0,1,0,1,1,27,531
Chickenpox,Henan,45-64,Male,13,1,0,0,12,2021,Winter,Rural,0,0,0,0,0,0,0,0,0,1,1,0,144
Mumps,Jiangsu,0-14,Female,21,0,1,0,5,2022,Spring,Rural,0,0,0,1,0,1,0,0,0,1,0,16,432
Influenza,Henan,65+,Male,27,0,0,1,7,2022,Summer,Rural,1,0,0,0,0,1,0,0,0,1,1,0,504
Malaria,Henan,0-14,Male,13,0,1,1,12,2021,Winter,Rural,0,0,1,0,0,0,0,1,0,1,1,5,940
Chickenpox,Yunnan,45-64,Female,20,0,0,0,7,2018,Summer,Rural,0,1,0,0,0,1,0,1,0,0,0,0,805
Hepatitis B,Sichuan,25-44,Female,18,0,1,1,2,2021,Winter,Urban,0,0,0,0,0,1,0,1,0,1,0,6,536
Dysentery,Zhejiang,15-24,Female,22,1,1,0,4,2018,Spring,Urban,0,1,0,0,0,0,0,0,0,1,1,8,979
Chickenpox,Zhejiang,0-14,Female,20,0,1,1,1,2019,Winter,Rural,1,1,0,0,1,1,1,1,0,1,1,20,548
Tuberculosis,Henan,15-24,Female,31,0,1,1,5,2018,Spring,Rural,0,0,0,1,0,1,0,0,1,1,0,29,363
Tuberculosis,Shandong,65+,Male,20,0,1,1,5,2019,Spring,Rural,1,0,0,0,1,1,0,0,0,1,1,4,571
Scarlet Fever,Yunnan,25-44,Male,18,0,1,0,4,2019,Spring,Rural,0,0,1,0,0,0,0,0,0,0,1,4,133
Dysentery,Henan,25-44,Male,13,0,1,1,10,2021,Autumn,Rural,0,0,0,0,0,0,1,0,0,1,1,21,237
Mumps,Shanghai,0-14,Female,17,0,1,1,12,2019,Winter,Rural,1,0,0,0,0,1,1,0,0,1,0,14,976
HIV/AIDS,Jiangsu,25-44,Male,21,0,1,0,12,2018,Winter,Urban,0,0,0,0,0,0,0,0,0,1,0,29,484
Chickenpox,Sichuan,0-14,Female,12,0,1,1,7,2020,Summer,Urban,0,0,0,1,0,1,1,0,1,1,0,3,262
Dysentery,Hunan,0-14,Female,22,1,1,0,6,2022,Summer,Rural,0,0,0,1,0,1,0,1,0,1,1,9,460
Tuberculosis,Shanghai,15-24,Male,20,0,1,1,10,2022,Autumn,Rural,1,0,0,0,0,0,0,1,1,1,0,29,602
Tuberculosis,Shandong,25-44,Male,20,1,1,0,3,2018,Spring,Rural,0,0,1,0,0,0,1,1,1,1,0,29,666
Malaria,Guangdong,0-14,Female,17,0,0,0,2,2020,Winter,Urban,0,1,0,0,0,0,0,0,1,0,0,0,637
Rabies,Guangdong,15-24,Male,29,0,1,1,4,2019,Spring,Urban,1,0,0,0,0,0,0,0,0,1,1,6,679
Mumps,Shanghai,45-64,Female,12,1,0,0,9,2018,Autumn,Urban,0,0,0,0,0,0,1,0,0,1,0,0,450
Chickenpox,Henan,15-24,Male,26,0,1,1,10,2019,Autumn,Rural,0,0,0,1,0,1,0,0,1,1,1,18,744
Scarlet Fever,Hunan,15-24,Male,18,1,0,0,5,2021,Spring,Urban,0,1,1,1,0,1,0,0,1,1,0,0,698
Scarlet Fever,Beijing,0-14,Male,19,0,1,0,1,2020,Winter,Rural,1,0,1,0,0,1,1,0,0,1,0,6,581
Chickenpox,Beijing,65+,Male,22,0,1,1,11,2022,Autumn,Rural,0,0,0,1,0,1,0,0,0,1,1,26,178
Brucellosis,Shandong,65+,Male,15,0,0,1,3,2018,Spring,Rural,0,0,0,1,0,0,0,0,0,1,1,0,550
COVID-19,Henan,65+,Female,18,1,0,0,9,2022,Autumn,Rural,0,0,0,1,0,0,1,1,1,1,0,0,886
Hepatitis B,Zhejiang,15-24,Male,18,1,1,0,7,2019,Summer,Urban,1,0,0,0,0,0,1,1,0,0,1,19,398
Scarlet Fever,Zhejiang,0-14,Male,14,0,1,1,3,2019,Spring,Rural,1,0,1,0,0,0,0,0,1,0,1,27,650
Dysentery,Sichuan,25-44,Male,23,0,1,1,1,2021,Winter,Rural,1,1,0,0,0,1,1,0,0,1,0,17,330
Hepatitis B,Hunan,15-24,Female,22,0,1,0,4,2019,Spring,Urban,0,0,0,0,0,0,1,0,0,1,0,23,510
Dysentery,Hunan,15-24,Female,13,2,0,0,9,2019,Autumn,Rural,1,1,0,1,0,0,1,0,0,1,0,0,505
Typhoid,Guangdong,0-14,Female,23,0,1,1,12,2022,Winter,Rural,1,0,0,0,0,0,0,0,0,1,0,11,916
Tuberculosis,Yunnan,45-64,Female,25,0,1,1,7,2022,Summer,Rural,0,0,0,0,0,1,0,0,0,1,1,16,413
Rabies,Shandong,15-24,Female,23,0,1,1,5,2018,Spring,Urban,1,0,0,0,0,0,1,0,1,1,0,25,926
Malaria,Beijing,45-64,Male,18,0,1,1,11,2018,Autumn,Rural,0,0,1,0,0,0,1,0,1,1,0,16,306
Scarlet Fever,Shandong,45-64,Male,20,0,1,1,6,2019,Summer,Rural,1,0,0,0,0,0,1,0,0,1,0,10,651
Rabies,Zhejiang,65+,Male,19,1,0,0,1,2020,Winter,Urban,0,0,0,1,0,1,1,0,0,1,1,0,717
Rabies,Zhejiang,0-14,Female,11,0,1,1,7,2018,Summer,Rural,1,0,0,0,0,0,0,0,1,1,1,19,882
Rabies,Shanghai,45-64,Female,18,1,1,0,12,2019,Winter,Rural,1,0,0,0,1,1,0,1,1,1,0,0,387
COVID-19,Sichuan,0-14,Male,23,0,1,1,5,2022,Spring,Rural,1,0,0,1,0,0,1,0,0,1,1,18,157
Hepatitis B,Hunan,65+,Female,10,0,1,1,7,2021,Summer,Rural,0,1,0,1,0,1,1,0,0,1,1,6,450
Dysentery,Jiangsu,0-14,Female,17,0,1,1,5,2022,Spring,Urban,1,0,0,0,0,1,0,0,1,1,0,18,599
Syphilis,Shandong,15-24,Female,14,0,1,1,5,2022,Spring,Urban,1,0,0,1,0,1,0,0,0,1,1,27,155
Typhoid,Zhejiang,45-64,Male,29,1,1,0,3,2021,Spring,Rural,0,0,0,0,1,1,1,0,0,0,0,0,202
Influenza,Yunnan,0-14,Male,15,0,1,1,5,2022,Spring,Urban,1,0,0,1,0,1,0,0,0,0,0,28,474
Rabies,Guangdong,25-44,Female,18,0,1,1,8,2018,Summer,Rural,0,0,0,0,0,0,0,1,0,1,1,29,151
HIV/AIDS,Beijing,0-14,Female,20,0,1,1,8,2022,Summer,Rural,0,0,1,1,0,1,0,0,1,1,1,9,328
Hepatitis B,Sichuan,45-64,Female,23,0,1,1,2,2021,Winter,Urban,1,0,0,0,0,0,1,0,0,1,0,28,819
Scarlet Fever,Yunnan,65+,Female,17,1,0,0,11,2019,Autumn,Rural,0,0,0,0,0,1,1,0,1,1,1,0,383
Mumps,Sichuan,65+,Male,20,0,1,1,1,2019,Winter,Rural,1,0,0,1,0,0,1,0,0,1,0,15,195
Scarlet Fever,Shanghai,45-64,Female,16,0,0,1,2,2019,Winter,Rural,1,1,0,0,0,0,0,0,0,1,1,0,859
Malaria,Jiangsu,15-24,Male,15,0,1,0,11,2021,Autumn,Rural,1,0,0,1,0,1,1,1,0,1,1,3,507
Influenza,Zhejiang,15-24,Male,22,0,1,1,7,2021,Summer,Urban,0,0,0,0,0,1,1,0,1,1,0,27,481
Syphilis,Guangdong,65+,Male,25,0,1,1,3,2018,Spring,Urban,1,0,0,0,1,1,1,0,0,1,1,19,776
HIV/AIDS,Yunnan,65+,Female,16,0,0,0,8,2021,Summer,Urban,1,0,1,1,0,0,1,0,1,1,1,0,801
Scarlet Fever,Sichuan,45-64,Male,23,0,0,1,4,2019,Spring,Urban,0,0,0,0,0,1,0,0,0,1,0,0,104
Syphilis,Hunan,15-24,Male,27,0,1,1,10,2021,Autumn,Urban,1,0,0,1,0,0,1,0,0,1,1,20,783
Influenza,Shanghai,65+,Female,23,2,1,0,10,2020,Autumn,Rural,0,0,0,0,0,1,0,0,1,1,1,14,405
Rabies,Hunan,15-24,Female,19,0,1,1,8,2022,Summer,Urban,1,0,0,0,0,0,0,0,0,0,1,25,740
HIV/AIDS,Guangdong,65+,Female,18,0,1,1,2,2018,Winter,Urban,1,0,0,0,0,1,1,1,0,1,1,15,547
Syphilis,Yunnan,0-14,Male,18,2,1,0,5,2019,Spring,Rural,0,1,0,0,0,1,0,0,1,1,1,28,560
Malaria,Shanghai,25-44,Female,21,1,1,0,6,2019,Summer,Rural,1,1,0,0,0,1,1,0,0,1,0,7,343
Dysentery,Yunnan,0-14,Male,10,2,1,0,1,2020,Winter,Rural,0,0,1,0,0,1,1,1,0,1,1,16,847
Tuberculosis,Zhejiang,65+,Male,15,1,1,0,1,2018,Winter,Rural,0,0,0,0,0,0,1,0,0,1,1,1,555
Dysentery,Henan,25-44,Female,13,0,1,1,9,2022,Autumn,Rural,1,0,0,0,0,0,1,0,1,1,1,16,356
Influenza,Shanghai,25-44,Male,17,0,0,1,5,2018,Spring,Urban,1,0,0,0,0,1,0,0,0,1,1,0,242
Hepatitis B,Hunan,65+,Male,29,0,1,1,4,2018,Spring,Urban,1,0,0,0,0,0,0,0,0,0,1,19,301
Tuberculosis,Guangdong,65+,Male,19,0,0,1,1,2019,Winter,Urban,0,1,0,0,0,0,0,0,0,1,0,0,100
Typhoid,Jiangsu,15-24,Male,20,1,1,0,3,2021,Spring,Rural,1,0,0,1,0,1,1,0,0,1,1,10,592
Malaria,Zhejiang,65+,Female,17,0,1,1,4,2022,Spring,Urban,1,0,0,1,0,0,0,0,1,1,0,18,919
Typhoid,Henan,45-64,Male,18,0,1,1,11,2018,Autumn,Rural,0,0,0,0,0,1,1,0,1,1,0,23,845
COVID-19,Jiangsu,65+,Female,24,0,1,1,11,2020,Autumn,Urban,1,0,0,0,0,0,0,0,0,0,0,5,611
HIV/AIDS,Beijing,45-64,Male,21,0,1,1,5,2019,Spring,Rural,1,0,0,1,0,1,0,0,1,1,0,17,456
Chickenpox,Zhejiang,65+,Male,17,1,1,0,10,2021,Autumn,Urban,0,0,0,0,0,0,1,0,1,1,0,8,652
Tuberculosis,Guangdong,15-24,Female,16,0,0,1,12,2021,Winter,Urban,1,0,0,0,0,0,0,0,0,1,1,0,930
Typhoid,Sichuan,45-64,Male,20,0,1,1,5,2019,Spring,Rural,1,0,0,0,0,0,0,0,0,1,0,15,376
Scarlet Fever,Shanghai,0-14,Male,29,1,0,0,10,2018,Autumn,Rural,1,0,0,0,0,0,1,0,1,1,0,0,850
Typhoid,Yunnan,45-64,Male,22,0,1,0,8,2019,Summer,Rural,0,0,0,0,1,0,1,0,1,1,1,22,318
Syphilis,Guangdong,15-24,Male,21,0,1,0,3,2021,Spring,Urban,1,0,1,1,0,1,1,0,1,1,0,25,470
Dysentery,Shanghai,45-64,Male,17,0,1,1,7,2021,Summer,Rural,1,0,0,0,0,1,1,0,1,1,0,7,151
Syphilis,Jiangsu,65+,Male,17,0,0,1,6,2020,Summer,Rural,1,0,0,0,0,1,0,1,0,1,1,0,298
COVID-19,Yunnan,65+,Female,10,1,1,0,10,2020,Autumn,Rural,0,0,0,0,0,1,0,0,1,1,0,16,565
Tuberculosis,Shandong,15-24,Female,23,0,0,1,11,2021,Autumn,Urban,1,0,0,0,0,0,0,0,1,1,1,0,903
Tuberculosis,Hunan,25-44,Female,19,0,1,1,10,2020,Autumn,Rural,1,0,0,1,0,1,1,0,0,1,0,21,891
COVID-19,Beijing,65+,Male,18,0,0,1,10,2020,Autumn,Urban,1,0,0,0,0,0,1,1,0,1,1,0,600
Influenza,Zhejiang,0-14,Male,19,1,1,0,11,2020,Autumn,Urban,1,1,0,1,0,1,0,1,0,1,1,5,710
Syphilis,Guangdong,15-24,Male,30,0,1,1,6,2021,Summer,Urban,0,0,0,0,0,1,0,1,0,1,0,15,167
Measles,Beijing,45-64,Female,20,1,1,0,10,2018,Autumn,Rural,0,0,0,1,0,0,0,0,0,1,1,2,348
Scarlet Fever,Sichuan,45-64,Male,20,0,1,1,9,2018,Autumn,Urban,1,0,0,1,0,1,0,1,1,1,0,1,869
Mumps,Shanghai,0-14,Female,17,0,1,1,7,2022,Summer,Rural,1,0,1,0,0,1,0,0,0,1,0,7,966
Dysentery,Shanghai,65+,Male,21,1,1,0,11,2020,Autumn,Rural,1,0,0,0,0,1,1,0,1,0,0,26,437
Tuberculosis,Guangdong,15-24,Male,17,0,1,1,7,2018,Summer,Rural,1,0,0,0,0,1,1,0,0,1,0,3,549
Influenza,Henan,0-14,Male,18,0,1,1,11,2022,Autumn,Urban,0,0,0,0,0,0,1,1,0,1,0,11,190
Chickenpox,Henan,65+,Female,18,0,1,1,1,2019,Winter,Urban,1,0,0,0,0,1,0,0,0,1,0,1,924
Scarlet Fever,Shandong,15-24,Male,19,0,1,1,1,2020,Winter,Urban,1,0,0,0,1,0,0,0,1,1,1,23,930
Syphilis,Hunan,45-64,Female,16,0,1,1,9,2018,Autumn,Rural,1,0,0,0,0,0,0,0,0,1,0,28,715
Dysentery,Yunnan,15-24,Male,20,0,0,1,9,2018,Autumn,Rural,0,0,0,0,0,0,0,0,0,1,1,0,938
Chickenpox,Sichuan,25-44,Male,24,0,0,0,12,2018,Winter,Urban,0,0,0,0,0,1,0,0,1,1,0,0,865
Syphilis,Beijing,15-24,Female,23,1,1,0,11,2022,Autumn,Urban,1,0,0,1,0,1,1,0,0,1,0,16,396
Typhoid,Henan,25-44,Male,18,0,0,1,10,2019,Autumn,Rural,1,0,0,0,0,1,0,0,1,1,0,0,450
Chickenpox,Shandong,15-24,Male,18,0,1,1,3,2020,Spring,Rural,0,0,0,0,0,1,0,0,0,1,0,15,859
Brucellosis,Guangdong,45-64,Male,20,0,1,1,11,2021,Autumn,Rural,1,1,0,0,0,1,0,0,0,1,0,8,325
Influenza,Sichuan,65+,Female,16,0,0,1,8,2020,Summer,Urban,0,0,1,0,0,1,0,0,0,1,1,0,362
Dysentery,Jiangsu,25-44,Female,15,0,1,1,9,2021,Autumn,Urban,1,1,0,0,0,0,0,0,1,0,1,11,668
Rabies,Yunnan,25-44,Male,24,0,1,1,1,2022,Winter,Rural,1,0,1,1,1,0,1,0,1,1,1,0,784
Brucellosis,Hunan,45-64,Male,23,0,0,1,12,2018,Winter,Urban,0,1,0,0,0,0,1,0,0,1,1,0,225
HIV/AIDS,Zhejiang,25-44,Female,25,0,1,1,3,2020,Spring,Urban,1,0,0,0,0,1,0,0,0,1,0,10,192
HIV/AIDS,Guangdong,0-14,Male,15,0,1,1,6,2020,Summer,Rural,0,1,1,1,0,0,1,0,0,1,0,5,220
Dysentery,Yunnan,45-64,Female,14,0,1,1,4,2018,Spring,Rural,1,0,1,0,0,1,1,0,0,1,1,25,324
Chickenpox,Zhejiang,0-14,Male,20,0,1,1,8,2019,Summer,Urban,0,0,1,1,0,0,1,0,0,1,1,16,614
Syphilis,Zhejiang,45-64,Female,23,0,1,1,9,2022,Autumn,Rural,1,0,0,0,0,1,1,1,1,1,1,23,203
Influenza,Sichuan,25-44,Female,23,0,1,0,7,2018,Summer,Urban,0,0,0,0,0,1,0,1,1,1,1,9,771
Mumps,Sichuan,0-14,Female,17,0,1,1,11,2020,Autumn,Rural,1,0,1,0,0,0,0,0,0,1,0,26,822
HIV/AIDS,Beijing,25-44,Female,25,0,1,1,1,2019,Winter,Urban,1,0,0,1,0,1,1,1,0,1,0,2,423
Influenza,Shandong,45-64,Male,17,0,1,1,2,2020,Winter,Rural,1,0,0,0,0,0,1,0,1,1,1,18,493
HIV/AIDS,Yunnan,25-44,Male,24,1,1,0,1,2021,Winter,Urban,0,0,0,0,0,1,1,0,1,1,1,2,885
Typhoid,Guangdong,0-14,Female,18,1,1,0,9,2020,Autumn,Rural,1,0,0,0,1,1,0,0,0,1,0,26,438
Syphilis,Shanghai,0-14,Female,20,1,1,0,4,2022,Spring,Rural,0,0,0,1,0,1,0,0,1,1,0,24,280
Typhoid,Guangdong,25-44,Female,16,0,1,1,10,2018,Autumn,Rural,1,0,0,0,0,0,1,0,0,1,1,20,687
Scarlet Fever,Beijing,15-24,Female,15,0,1,1,8,2020,Summer,Rural,0,0,0,0,1,1,0,1,0,1,1,0,771
HIV/AIDS,Hunan,45-64,Male,28,0,1,1,5,2021,Spring,Rural,1,1,0,1,0,1,1,0,0,1,0,19,617
Rabies,Shandong,45-64,Female,26,1,1,0,5,2021,Spring,Urban,1,0,0,0,0,0,1,1,0,1,1,22,777
Rabies,Shanghai,25-44,Female,22,0,1,1,5,2018,Spring,Urban,1,0,0,0,1,0,1,0,0,1,1,0,922
Typhoid,Henan,15-24,Female,24,0,1,1,11,2021,Autumn,Rural,1,0,0,0,0,1,0,0,1,1,0,25,893
Brucellosis,Sichuan,65+,Female,24,0,1,1,3,2022,Spring,Urban,0,1,0,0,0,1,1,0,0,1,1,17,685
Rabies,Zhejiang,65+,Female,19,2,0,0,6,2018,Summer,Rural,1,0,0,1,0,0,0,0,0,1,1,0,313
HIV/AIDS,Henan,25-44,Female,18,0,0,1,1,2019,Winter,Urban,0,0,0,1,0,0,0,0,0,1,1,0,325
Dysentery,Guangdong,15-24,Male,20,1,1,0,8,2021,Summer,Urban,1,1,0,0,0,1,1,0,1,1,0,18,208
Typhoid,Guangdong,15-24,Female,13,0,1,1,4,2021,Spring,Urban,1,0,0,1,0,1,1,0,0,1,1,4,214
Scarlet Fever,Sichuan,45-64,Female,20,1,0,0,6,2020,Summer,Urban,0,0,0,1,0,0,0,0,1,1,0,0,355
Mumps,Beijing,0-14,Female,16,0,0,1,2,2019,Winter,Rural,1,0,0,0,0,1,1,0,1,1,1,0,697
Mumps,Yunnan,15-24,Male,20,1,1,0,2,2020,Winter,Urban,0,1,0,0,1,0,0,0,0,1,1,0,505
Hepatitis B,Henan,65+,Male,28,0,1,1,8,2018,Summer,Urban,1,0,1,0,0,1,1,0,0,1,1,8,617
Brucellosis,Henan,0-14,Male,19,0,0,1,1,2022,Winter,Urban,1,0,0,0,0,0,1,0,0,0,0,0,578
Chickenpox,Jiangsu,0-14,Female,24,0,1,1,8,2021,Summer,Urban,1,0,0,0,1,1,1,1,0,1,0,17,391
Syphilis,Hunan,25-44,Female,14,0,1,1,10,2022,Autumn,Rural,1,0,0,0,0,0,0,0,0,1,0,25,738
Rabies,Shandong,15-24,Female,21,1,1,0,10,2018,Autumn,Urban,1,1,0,1,0,1,0,0,0,1,0,23,878
Rabies,Hunan,25-44,Male,23,2,1,0,1,2018,Winter,Rural,1,0,0,0,0,1,0,0,0,0,0,18,437
Chickenpox,Yunnan,15-24,Female,14,0,1,1,9,2019,Autumn,Rural,1,1,0,1,0,0,1,0,0,1,0,24,987
Tuberculosis,Guangdong,45-64,Male,16,0,1,1,1,2020,Winter,Rural,1,0,1,0,0,1,0,0,1,1,0,4,645
Scarlet Fever,Guangdong,25-44,Male,21,0,1,1,4,2021,Spring,Rural,0,1,0,0,0,0,0,0,1,1,1,20,358
Measles,Guangdong,25-44,Male,18,1,1,0,9,2021,Autumn,Rural,1,1,1,0,0,1,0,0,1,1,0,10,852
Typhoid,Jiangsu,65+,Male,22,0,1,1,1,2022,Winter,Urban,0,0,0,0,1,0,1,0,0,0,0,0,716
Scarlet Fever,Yunnan,15-24,Female,20,0,1,1,8,2018,Summer,Rural,0,0,0,0,0,0,1,0,0,1,1,1,533
Malaria,Sichuan,65+,Female,20,0,1,1,5,2019,Spring,Rural,1,0,0,0,0,0,0,1,1,1,0,11,457
Rabies,Shandong,25-44,Male,24,1,1,0,6,2021,Summer,Urban,1,0,1,0,0,1,1,0,0,1,1,5,347
Syphilis,Yunnan,25-44,Female,19,0,1,1,5,2020,Spring,Urban,1,1,0,0,1,1,0,0,1,1,1,22,903
Hepatitis B,Shandong,45-64,Female,14,0,1,1,4,2022,Spring,Rural,1,0,1,0,0,0,1,0,0,1,0,23,820
Mumps,Yunnan,25-44,Male,26,1,1,0,12,2018,Winter,Urban,0,1,0,0,0,0,0,0,1,1,1,19,705
Rabies,Guangdong,0-14,Male,23,0,0,1,10,2018,Autumn,Urban,1,1,0,0,0,1,0,0,1,1,0,0,538
Hepatitis B,Sichuan,65+,Female,17,0,1,1,12,2018,Winter,Rural,0,1,0,1,0,1,1,0,0,0,0,24,641
HIV/AIDS,Henan,0-14,Female,14,0,1,1,4,2020,Spring,Rural,0,1,0,0,0,1,0,0,0,1,0,11,673
Scarlet Fever,Hunan,65+,Female,25,0,1,0,10,2021,Autumn,Rural,1,0,0,1,0,1,0,1,0,1,1,2,854
HIV/AIDS,Zhejiang,45-64,Female,21,0,1,1,8,2021,Summer,Rural,1,0,0,0,1,1,1,0,0,1,0,23,280
Measles,Sichuan,25-44,Male,11,2,1,0,8,2019,Summer,Rural,0,0,0,0,0,0,0,0,0,1,1,25,206
Dysentery,Henan,25-44,Female,26,1,1,0,9,2019,Autumn,Urban,1,0,0,0,0,1,0,0,0,0,1,14,661
Malaria,Beijing,25-44,Male,12,1,1,0,3,2021,Spring,Rural,0,0,1,0,0,1,1,0,0,1,0,10,322
Scarlet Fever,Yunnan,65+,Male,18,1,1,0,10,2018,Autumn,Urban,0,0,0,0,0,0,0,0,0,1,0,9,259
Tuberculosis,Beijing,25-44,Female,25,0,1,1,8,2020,Summer,Rural,0,0,0,0,0,1,1,0,0,1,1,20,219
Measles,Henan,0-14,Female,28,0,1,0,3,2021,Spring,Rural,0,0,0,0,0,1,0,0,0,1,0,27,979
